reply,label
"This could work for our team, send me the proposal.",positive
Can you share more information?,neutral
We already have a vendor for this.,negative
Looking forward to the meeting next week.,positive
Send me the details and I’ll review.,neutral
Can you share more information?,neutral
"Please share the details, I’m interested.",positive
"Sounds interesting, let’s set up a call.",positive
I’ll forward this to my manager.,neutral
"I’m busy this week, maybe later.",neutral
"This could work for our team, send me the proposal.",positive
"Sounds interesting, let’s set up a call.",positive
Looking forward to the meeting next week.,positive
I’ll forward this to my manager.,neutral
Can you share more information?,neutral
"Not interested, thank you.",negative
Can you share more information?,neutral
I am not the right person to contact.,negative
"Sounds interesting, let’s set up a call.",positive
"This could work for our team, send me the proposal.",positive
Looking forward to the meeting next week.,positive
I am not the right person to contact.,negative
"This could work for our team, send me the proposal.",positive
"Please share the details, I’m interested.",positive
I’ll forward this to my manager.,neutral
Can you share more information?,neutral
"This could work for our team, send me the proposal.",positive
I am not the right person to contact.,negative
I am not the right person to contact.,negative
"Please share the details, I’m interested.",positive
"Yes, I would love to schedule a demo.",positive
Send me the details and I’ll review.,neutral
I am not the right person to contact.,negative
"Sounds interesting, let’s set up a call.",positive
"I’m busy this week, maybe later.",neutral
I’ll forward this to my manager.,neutral
Can you share more information?,neutral
Can you share more information?,neutral
I’ll forward this to my manager.,neutral
We don’t need this solution right now.,negative
What exactly does your product do?,neutral
Can you share more information?,neutral
Looking forward to the meeting next week.,positive
Please remove me from your mailing list.,negative
"Not interested, thank you.",negative
We don’t need this solution right now.,negative
"Yes, I would love to schedule a demo.",positive
"Not interested, thank you.",negative
We already have a vendor for this.,negative
Can you share more information?,neutral
Can you share more information?,neutral
I’ll forward this to my manager.,neutral
Looking forward to the meeting next week.,positive
Can you share more information?,neutral
"Sounds interesting, let’s set up a call.",positive
I am not the right person to contact.,negative
I am not the right person to contact.,negative
What exactly does your product do?,neutral
"Yes, I would love to schedule a demo.",positive
"Please share the details, I’m interested.",positive
Please remove me from your mailing list.,negative
Send me the details and I’ll review.,neutral
Can you share more information?,neutral
Send me the details and I’ll review.,neutral
"Yes, I would love to schedule a demo.",positive
"This could work for our team, send me the proposal.",positive
"Sounds interesting, let’s set up a call.",positive
Please remove me from your mailing list.,negative
I am not the right person to contact.,negative
"This could work for our team, send me the proposal.",positive
Can you share more information?,neutral
"I’m busy this week, maybe later.",neutral
Looking forward to the meeting next week.,positive
We don’t need this solution right now.,negative
Please remove me from your mailing list.,negative
I am not the right person to contact.,negative
I’ll forward this to my manager.,neutral
Please remove me from your mailing list.,negative
"Sounds interesting, let’s set up a call.",positive
We already have a vendor for this.,negative
Please remove me from your mailing list.,negative
"Sounds interesting, let’s set up a call.",positive
We already have a vendor for this.,negative
"I’m busy this week, maybe later.",neutral
We already have a vendor for this.,negative
"Please share the details, I’m interested.",positive
"Sounds interesting, let’s set up a call.",positive
I’ll forward this to my manager.,neutral
I am not the right person to contact.,negative
Can you share more information?,neutral
We don’t need this solution right now.,negative
"This could work for our team, send me the proposal.",positive
"This could work for our team, send me the proposal.",positive
"Please share the details, I’m interested.",positive
We don’t need this solution right now.,negative
What exactly does your product do?,neutral
We don’t need this solution right now.,negative
Looking forward to the meeting next week.,positive
What exactly does your product do?,neutral
We already have a vendor for this.,negative
We already have a vendor for this.,negative
"Not interested, thank you.",negative
Please remove me from your mailing list.,negative
We don’t need this solution right now.,negative
"I’m busy this week, maybe later.",neutral
We don’t need this solution right now.,negative
"Please share the details, I’m interested.",positive
Can you share more information?,neutral
I’ll forward this to my manager.,neutral
"I’m busy this week, maybe later.",neutral
"I’m busy this week, maybe later.",neutral
"Yes, I would love to schedule a demo.",positive
Can you share more information?,neutral
Looking forward to the meeting next week.,positive
I’ll forward this to my manager.,neutral
What exactly does your product do?,neutral
Please remove me from your mailing list.,negative
"Not interested, thank you.",negative
"I’m busy this week, maybe later.",neutral
We already have a vendor for this.,negative
Can you share more information?,neutral
"Please share the details, I’m interested.",positive
Please remove me from your mailing list.,negative
"Sounds interesting, let’s set up a call.",positive
We don’t need this solution right now.,negative
Looking forward to the meeting next week.,positive
Please remove me from your mailing list.,negative
"I’m busy this week, maybe later.",neutral
I’ll forward this to my manager.,neutral
We already have a vendor for this.,negative
"Please share the details, I’m interested.",positive
"I’m busy this week, maybe later.",neutral
Send me the details and I’ll review.,neutral
Please remove me from your mailing list.,negative
"I’m busy this week, maybe later.",neutral
What exactly does your product do?,neutral
I am not the right person to contact.,negative
"Please share the details, I’m interested.",positive
What exactly does your product do?,neutral
Looking forward to the meeting next week.,positive
"I’m busy this week, maybe later.",neutral
"Yes, I would love to schedule a demo.",positive
We already have a vendor for this.,negative
"Sounds interesting, let’s set up a call.",positive
"Yes, I would love to schedule a demo.",positive
"Please share the details, I’m interested.",positive
We don’t need this solution right now.,negative
"I’m busy this week, maybe later.",neutral
"Sounds interesting, let’s set up a call.",positive
We already have a vendor for this.,negative
"Yes, I would love to schedule a demo.",positive
Can you share more information?,neutral
Can you share more information?,neutral
I am not the right person to contact.,negative
"This could work for our team, send me the proposal.",positive
Can you share more information?,neutral
We don’t need this solution right now.,negative
Please remove me from your mailing list.,negative
"Not interested, thank you.",negative
"Sounds interesting, let’s set up a call.",positive
Please remove me from your mailing list.,negative
We don’t need this solution right now.,negative
What exactly does your product do?,neutral
"Sounds interesting, let’s set up a call.",positive
We already have a vendor for this.,negative
I’ll forward this to my manager.,neutral
Looking forward to the meeting next week.,positive
"Please share the details, I’m interested.",positive
Please remove me from your mailing list.,negative
We already have a vendor for this.,negative
Please remove me from your mailing list.,negative
Please remove me from your mailing list.,negative
Send me the details and I’ll review.,neutral
"I’m busy this week, maybe later.",neutral
"Not interested, thank you.",negative
"Sounds interesting, let’s set up a call.",positive
"This could work for our team, send me the proposal.",positive
What exactly does your product do?,neutral
Send me the details and I’ll review.,neutral
What exactly does your product do?,neutral
I’ll forward this to my manager.,neutral
"I’m busy this week, maybe later.",neutral
"I’m busy this week, maybe later.",neutral
I am not the right person to contact.,negative
"I’m busy this week, maybe later.",neutral
"This could work for our team, send me the proposal.",positive
"Not interested, thank you.",negative
"I’m busy this week, maybe later.",neutral
What exactly does your product do?,neutral
"Sounds interesting, let’s set up a call.",positive
We don’t need this solution right now.,negative
"Sounds interesting, let’s set up a call.",positive
"Not interested, thank you.",negative
We don’t need this solution right now.,negative
We already have a vendor for this.,negative
We already have a vendor for this.,negative
We already have a vendor for this.,negative
Send me the details and I’ll review.,neutral
We don’t need this solution right now.,negative
Please remove me from your mailing list.,negative
"This could work for our team, send me the proposal.",positive
Looking forward to the meeting next week.,positive
I am not the right person to contact.,negative
What exactly does your product do?,neutral
"Sounds interesting, let’s set up a call.",positive
"I’m busy this week, maybe later.",neutral
"Not interested, thank you.",negative
"Please share the details, I’m interested.",positive
We don’t need this solution right now.,negative
"Sounds interesting, let’s set up a call.",positive
"Please share the details, I’m interested.",positive
"I’m busy this week, maybe later.",neutral
"Please share the details, I’m interested.",positive
"This could work for our team, send me the proposal.",positive
I’ll forward this to my manager.,neutral
I’ll forward this to my manager.,neutral
"I’m busy this week, maybe later.",neutral
We don’t need this solution right now.,negative
"Yes, I would love to schedule a demo.",positive
"This could work for our team, send me the proposal.",positive
I am not the right person to contact.,negative
"Sounds interesting, let’s set up a call.",positive
Please remove me from your mailing list.,negative
"Yes, I would love to schedule a demo.",positive
Please remove me from your mailing list.,negative
"Not interested, thank you.",negative
"This could work for our team, send me the proposal.",positive
Send me the details and I’ll review.,neutral
What exactly does your product do?,neutral
"Not interested, thank you.",negative
"This could work for our team, send me the proposal.",positive
"Not interested, thank you.",negative
"Not interested, thank you.",negative
Can you share more information?,neutral
"Sounds interesting, let’s set up a call.",positive
Can you share more information?,neutral
I am not the right person to contact.,negative
"Yes, I would love to schedule a demo.",positive
"Not interested, thank you.",negative
"This could work for our team, send me the proposal.",positive
"This could work for our team, send me the proposal.",positive
"This could work for our team, send me the proposal.",positive
"This could work for our team, send me the proposal.",positive
Please remove me from your mailing list.,negative
Looking forward to the meeting next week.,positive
We don’t need this solution right now.,negative
"Yes, I would love to schedule a demo.",positive
I’ll forward this to my manager.,neutral
I am not the right person to contact.,negative
"Please share the details, I’m interested.",positive
Send me the details and I’ll review.,neutral
"Sounds interesting, let’s set up a call.",positive
"Not interested, thank you.",negative
"Yes, I would love to schedule a demo.",positive
"This could work for our team, send me the proposal.",positive
"I’m busy this week, maybe later.",neutral
Looking forward to the meeting next week.,positive
"Please share the details, I’m interested.",positive
We already have a vendor for this.,negative
"Not interested, thank you.",negative
Can you share more information?,neutral
Send me the details and I’ll review.,neutral
"Please share the details, I’m interested.",positive
"I’m busy this week, maybe later.",neutral
I’ll forward this to my manager.,neutral
"Please share the details, I’m interested.",positive
Please remove me from your mailing list.,negative
"Yes, I would love to schedule a demo.",positive
Looking forward to the meeting next week.,positive
Looking forward to the meeting next week.,positive
I’ll forward this to my manager.,neutral
I’ll forward this to my manager.,neutral
I’ll forward this to my manager.,neutral
"This could work for our team, send me the proposal.",positive
Looking forward to the meeting next week.,positive
Looking forward to the meeting next week.,positive
"Not interested, thank you.",negative
What exactly does your product do?,neutral
We don’t need this solution right now.,negative
Can you share more information?,neutral
Send me the details and I’ll review.,neutral
I am not the right person to contact.,negative
I’ll forward this to my manager.,neutral
I am not the right person to contact.,negative
Looking forward to the meeting next week.,positive
We don’t need this solution right now.,negative
"Not interested, thank you.",negative
We don’t need this solution right now.,negative
Can you share more information?,neutral
Please remove me from your mailing list.,negative
I’ll forward this to my manager.,neutral
Can you share more information?,neutral
Send me the details and I’ll review.,neutral
What exactly does your product do?,neutral
I am not the right person to contact.,negative
